IDENTIFY "AV-8B_HARRIER"
CATEGORY ATTACKER
AFTBURNR FALSE                #HAVE AFTERBURNER?
HRDPOINT 0.69m -0.48m 1.43m AGM65 B250
HRDPOINT -0.69m -0.48m 1.43m AGM65 B250
HRDPOINT 0.69m -0.48m -1.32m AGM65 B250
HRDPOINT -0.69m -0.48m -1.32m AGM65 B250
HRDPOINT  1.46m 0.37m -0.11m AIM9 AGM65 B250
HRDPOINT -1.46m 0.37m -0.11m AIM9 AGM65 B250
HRDPOINT  3.55m 0.24m -0.82m AIM9 AGM65 B250
HRDPOINT -3.55m 0.24m -0.82m AIM9 AGM65 B250
HRDPOINT  3.01m 0.24m -0.82m AIM9 AGM65 B250
HRDPOINT -3.01m 0.24m -0.82m AIM9 AGM65 B250
HRDPOINT  3.97m 0.14m -1.32m AGM65 RKT
HRDPOINT -3.97m 0.14m -1.32m AGM65 RKT
MAXNMRKT 38
LMTBYHDP TRUE
INITIGUN 3000                 #INITIAL GUN
LOADWEPN AIM9 2
LOADWEPN AGM65 2
LOADWEPN RKT 38


REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.8MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 93kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 2000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.40                 #LANDING THROTTLE SETTING





AUTOCALC
